"annotation_level_1" "annotation_detailed" "description" "marker_genes" "related_refs" "umap_png" "related_cell_ontology"
"csMBC" "NBC_MBC" "csMBC" "This is one of the main clusters of MBCs, with clear expression of known markers such as CD27 and CD267. It is also characterized by high expression of IGHA1 and IGHG1, and therefore it is classified as class switch MBC (csMBCs; Akkaya et al., 2020)." "MS4A1,CD79A,CD79B,CD27,TNFRSF13B,IGHA1,IGHG1" "Akkaya2020|10.1038/s41577-019-0244-2" "nbc_mbc_umap.png" NA
"ncsMBC FCRL4/5+" "NBC_MBC" "ncsMBC FCRL4/5+" "This is a subcluster of ncsMBC (positive for CD27, CD267, IGHD and IGHM), characterized by the expression of FCRL4 and FCRL5. This subpopulation is typically found in tonsils but not in peripheral blood or bone marrow. In concordance with the available literature related to FCRL4+ MBCs, this cluster expresses high levels of GSN, SOX5, FGR or HCK, among others (Li et al., 2020)" "MS4A1,CD79A,CD79B,CD27,TNFRSF13B,IGHD,IGHM,FCRL4,FCRL5,GSN,SOX5,FGR,HCK" "Li2020|10.1093/intimm/dxaa053" "nbc_mbc_umap.png" NA
"csMBC FCRL4/5+" "NBC_MBC" "csMBC FCRL4/5+" "This is a subcluster of csMBC (positive for CD27, CD267, IGHA and IGHG), characterized by the expression of FCRL4 and FCRL5. This subpopulation is typically found in tonsils but not in peripheral blood or bone marrow. In concordance with the available literature related to FCRL4+ MBCs, this cluster expresses high levels of GSN, SOX5, FGR or HCK, among others (Li et al., 2020)" "MS4A1,CD79A,CD79B,CD27,TNFRSF13B,IGHA1,IGHG1,FCRL4,FCRL5,GSN,SOX5,FGR,HCK" "Li2020|10.1093/intimm/dxaa053" "nbc_mbc_umap.png" NA
"MBC FCRL5+" "NBC_MBC" "MBC FCRL5+" "This is a low abundant cluster of MBC cells (positive for CD27 and CD267) that present and intermediate transcriptomic signature between csMBC and csMBC FCRL4+/FCRL5+. These cells express only FCRL5 with the absence of FCRL4. This subpopulation has been described as MBC FCRL5-only, which indeed was shown to express many genes at intermediate level between FCRL4/FCRL5 MBCs and MBC (Li et al., 2020)" "MS4A1,CD79A,CD79B,CD27,TNFRSF13B,IGHA1,IGHG1,FCRL5,GSN,SOX5,FGR,HCK" "Li2020|10.1093/intimm/dxaa053" "nbc_mbc_umap.png" NA
"DZ-early S phase" "GCBC" "DZ-early S phase" "Cluster with high expression of CXCR4 (a marker defining DZ GCB cells) and additional expression of DZ markers, such as FOXP1 and MME, and moderate levels of AICDA (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). This cluster displays a clear proliferation signature and high S-phase score. Cells express typical cell cycle genes, such as MCM family, POLA1 or PCNA, which are associated with DNA replication and strand elongation as well as G1/S transition GO terms. This cluster lacks expression of histone genes (i.e. HIST1H4C, HIST1H1B, HIST2H2AH, HIST1H3D), which are related to a more advanced S phase. Therefore, the present cluster most likely represents the early steps of the S phase of the cell cycle (Bar-Joseph et al., 2008)." "CXCR4,MME,FOXP1,AICDA,POLA1,PCNA,MCM5,MCM7,MCM4,MCM6" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4;Bar-Joseph2008|10.1073/pnas.0704723105" "gcbc_umap.png" NA
"DZ-late S phase" "GCBC" "DZ-late S phase" "Cluster with high expression of CXCR4 (a marker defining DZ GCB cells) and additional expression of DZ markers, such as FOXP1 and MME, and moderate levels of AICDA (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). This cluster displays a clear proliferation signature and high S-phase score. Cells express typical cell cycle genes, such as MCM family, POLA1 or PCNA, which are associated with DNA replication and strand elongation as well as G1/S transition GO terms. This cluster shows upregulation of histone genes (i.e. HIST1H4C, HIST1H1B, HIST2H2AH, HIST1H3D), suggesting that it contains cells associated with the later steps of the S phase. Moreover, the cells within this cluster start expressing the first traces of genes related to more advanced phases of the cell cycle, such as AURKB, TOP2A or MKI67 (Bar-Joseph et al., 2008)." "CXCR4,MME,FOXP1,AICDA,POLA1,PCNA,MCM5,MCM7,MCM4,MCM6,HIST1H4C,HIST1H1B,HIST2H2AH,HIST1H3D" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4;Bar-Joseph2008|10.1073/pnas.0704723105" "gcbc_umap.png" NA
"DZ-early G2M phase" "GCBC" "DZ-early G2M phase" "Cluster with high expression of CXCR4 (a marker defining DZ GCB cells) and additional expression of DZ markers, such as FOXP1 and MME, as well as high expression of AICDA (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). This cluster has a clear G2M phase score. It is characterized by high expression of genes related to spindle organization, chromosome segregation, mitotic cell cycle and division, i.e. BUB1, TOP2A, centromere proteins family, tubulin genes, AURKA, CDK1 and MKI67. Cells from this cluster start to downregulate the expression of histone genes concomitantly with the upregulation of cyclin B genes and CDC20, indicating full entry into mitosis (Bar-Joseph et al., 2008)." "CXCR4,MME,FOXP1,AICDA,BUB1,TOP2A,AURKA,CDK1,MKI67,TUBB4B,HIST1H4C,HIST1H1B" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4;Bar-Joseph2008|10.1073/pnas.0704723105" "gcbc_umap.png" NA
"DZ-late G2M phase" "GCBC" "DZ-late G2M phase" "Cluster with high expression of CXCR4 (a marker defining DZ GCB cells) and additional expression of DZ markers, such as FOXP1 and MME, as well as high expression of AICDA (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). This cluster has a clear G2M phase score. It is characterized by high expression of genes related to spindle organization, chromosome segregation, mitotic cell cycle and division, i.e. BUB1, TOP2A, centromere proteins family, tubulin genes, AURKA, CDK1 and MKI67. Cells from this cluster start to downregulate the expression of histone genes concomitantly with the upregulation of cyclin B genes and CDC20, indicating full entry into mitosis (Bar-Joseph et al., 2008)." "CXCR4,MME,FOXP1,AICDA,BUB1,TOP2A,AURKA,CDK1,MKI67,TUBB4B,CCNB2,CDC20" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4;Bar-Joseph2008|10.1073/pnas.0704723105" "gcbc_umap.png" NA
"DZ-cell cycle exit" "GCBC" "DZ-cell cycle exit" "Cluster with high expression of CXCR4 (a marker defining DZ GCB cells) and additional expression of DZ markers, such as FOXP1 and MME, as well as moderate expression of AICDA (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). Cells from this cluster start to downregulate the expression levels of cell cycle program genes. For instance, they lack CDK1 but still contain lower levels of CCNB1, CDC20, TOP2A and MKI67 as compared to the cells from preceding DZ-G2M phase clusters. The cells still maintain clear expression of other proliferation-related genes such as HMG family genes, STMN1 or BIRC5. This cluster was not associated with any significant upregulation as compared to the preceding cluster (DZ-late G2M phase). Therefore, we defined this cluster as dark zone cells that have started to exit the cell cycle (Bar-Joseph et al., 2008)." "CXCR4,MME,FOXP1,AICDA,CCNB1,CDC20,TOP2A,MKI67,STMN1,BIRC5,HMGB2" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4;Bar-Joseph2008|10.1073/pnas.0704723105" "gcbc_umap.png" NA
"DZ-non-proliferative" "GCBC" "DZ-non-proliferative" "Cluster with high expression of CXCR4 (a marker defining DZ GCB cells) and additional expression of DZ markers, such as FOXP1 and MME, as well as moderate expression of AICDA (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). Cells from these clusters are clearly non-proliferative, lacking the detectable expression of any cell cycle gene. Therefore, we hypothesize that cells in this cluster, although they maintain the expression of dark zone-related genes, have already finished the cell cycle program and are progressing towards the next maturation stage (Bar-Joseph et al., 2008)." "CXCR4,MME,FOXP1,AICDA" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4;Bar-Joseph2008|10.1073/pnas.0704723105" "gcbc_umap.png" NA
"DZ-LZ transition" "GCBC" "DZ-LZ transition" "This relatively large non-proliferative cluster is characterized by rather intermediate or low expression of DZ markers, such as CXCR4. The cells start to express some LZ markers such as CD83 or LMO2, but still are missing other LZ-genes such as BCL2A1 or DUSP2 (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). Furthermore, we could not define clear markers specific and unique for this cluster. From the chromatin perspective, this cluster contained intermediate levels of regions differentially accessible between the DZ and the LZ. Therefore, we believe that these cells represent a transitional subpopulation moving from the DZ to the LZ." "CXCR4,CD83,LMO2" "King2021|10.1126/sciimmunol.abe6291" "gcbc_umap.png" NA
"LZ" "GCBC" "LZ" "Cells in this non-proliferative cluster show expression of well-known light zone markers, i.e. CD83, LMO2, and downregulation of DZ genes such as CXCR4 or AICDA. Within this cluster, genes related to CD40 signaling and response to BCR stimulation are starting to be expressed (e.g. BCL2A1, BCL2L1, TRAF1/4 or EBI3). However, the expression levels of these genes were not homogeneous, suggesting the presence of different levels of activation of LZ cells (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018)." "CD83,LMO2,BCL2A1,BCL2L1,TRAF1,TRAF3,EBI3" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4" "gcbc_umap.png" NA
"LZ-DZ re-entry commitment" "GCBC" "LZ-DZ re-entry commitment" "Cluster with high expression of CD83 and low expression of CXCR4, as well as positive for LMO2, which indicate that this cluster contains LZ-GCBC cells (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). Within this cluster, apart from the high expression of genes associated with the previously described LZ cluster, the cells start to express very specific genes such as MYC, MIR155HG or genes related to NF-kB pathway (i.e. NFKB1, NFKB2, NFKBIA, NFKBID, RELB). This transient expression of MYC has been described in LZ cells re-entering into the DZ, to continue with additional rounds of affinity maturation (Dominguez-Sola et al., 2012). Additionally, as compared to the LZ cluster, this cluster shows higher expression of BATF, a gene known to be involved in regulating AIDCA (a DZ marker) (Ise et al., 2011). From the scATAC-seq perspective, this LZ-DZ re-entry cluster is associated with epigenetic programming, with transiently increased chromatin accessibility associated with TFs of the NF-kB family as well as BATF. Altogether, these observations suggest that this cluster contains LZ cells that are already committed and preparing to return to the DZ." "CD83,MYC,MIR155HG,NFKB1,NFKB2,NFKBIA,NFKBID,RELB,BATF,MYC" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4;Dominguez-Sola2012|10.1038/ni.2428;Ise2011|10.1038/ni.2037" "gcbc_umap.png" NA
"LZ-proliferative" "GCBC" "LZ-proliferative" "This cluster has a proliferative signature, marked for example by upregulation of MCM gene family, PCNA, POLA1 (Bar-Joseph et al., 2008), while still maintaining the expression of standard light zone markers, like CD83 and LMO2. Furthermore, these cells maintain the expression of specific genes related to the LZ-DZ re-entry commitment cluster, such as BCL2A1, MIR155HG, NF-kB pathway genes or BATF. Therefore, this cluster may represent LZ cells that are starting to proliferate (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018)." "CD83,LMO2,MCM5,MCM7,MCM4,MCM6,PCNA,POLA,BCL2A1,MIR155HG,BATF" "Bar-Joseph2008|10.1073/pnas.0704723105;King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4" "gcbc_umap.png" NA
"LZ-DZ transition" "GCBC" "LZ-DZ transition" "This proliferative cluster presents intermediate expression of both LZ and DZ markers, i.e. containing traces of both CD83 and CXCR4 expression (King et al., 2021; Holmes et al., 2023; Milpied et al., 2018). It also downregulates previously mentioned signature related to LZ-DZ re-entry commitment, but cell cycle genes are highly expressed (Bar-Joseph et al., 2008). Therefore, these cells may represent the intermediate transitional step from proliferative LZ to proliferative DZ cells. It also suggests that the phenotypic switch from LZ to DZ occurs while cells proliferate." "CD83,CXCR4,MME,LMO2,POLA1,MKI67,TOP2A,CDC20,CCNB1" "King2021|10.1126/sciimmunol.abe6291;Holmes2020|10.1084/jem.20200483;Milpied2018|10.1038/s41590-018-0181-4;Bar-Joseph2008|10.1073/pnas.0704723105" "gcbc_umap.png" NA
"Precursor MBC" "GCBC" "Precursor MBC" "Within the level 1 cluster containing GCBCs, we also identified a subset of cells that were characterized by MBC-related markers while maintaining a non-proliferative GC signature. Specifically, this cluster was characterized by high expression of CCR6 or CELF2, genes that are commonly used in literature to define memory B cell precursors (Holmes et al., 2020). Although this cluster likely represents early MBCs derived from the LZ, we cannot exclude some technical issues or even MBC-GC doublet cells." "CCR6,CELF2,CXCR4,FOXP1" "Holmes2020|10.1084/jem.20200483" "gcbc_umap.png" NA
"Reactivated proliferative MBC" "GCBC" "Reactivated proliferative MBC" "This is a second cluster within the GC compartment that contains MBC markers. In this case, cells show high expression of BANK1 and TNFRSF13B (CD267). However, in the contrary to precursor MBC (that supposedly are generated from non-proliferative LZ cells), this cluster is characterized by high proliferation signature (i.e. PCNA, MKi67 or TOP2A expression; Bar-Joseph et al., 2008). Therefore, we hypothesize that these cells may be derived from secondary immune responses, in which MBC are reactivated, start to rapidly proliferate and may eventually differentiate into plasma cells (Moran et al., 2018). However, the overlap between some GC and MBC markers does not allow us to unequivocally exclude doublets." "BANK1,TNFRSF13B,PCNA,MKi67,TOP2A" "Bar-Joseph2008|10.1073/pnas.0704723105;Moran2018|10.1038/s41467-018-05772-7" "gcbc_umap.png" NA
"PC committed light zone GCBC" "GCBC" "PC committed light zone GCBC" "This subpopulation still belongs to the GCBCs level 1 cluster. It maintains high levels of B cell markers such as MS4A1 and PAX5, as well as high levels of GC markers such as BCL6, IRF8 and MEF2B, and LZ markers (MME (CD10), and CD83). However, it shows the first seeds of commitment towards PC differentiation, which are associated mostly with the expression, still at low levels, of the three key PC-related transcription factors PRDM1, XBP1 and IRF4 (Nutt et al., 2015)." "MS4A1,PAX5,BCL6,IRF8,MEF2B,PRDM1,XBP1,IRF4" "Nutt2015|10.1038/nri3795" "gcbc_umap.png" NA
"DZ migratory PC precursor" "PC" "DZ migratory PC precursor" "This cluster is composed by a relatively small number of cells that belong to the PC cluster at level 1, but in the PC-specific UMAP unexpectedly cluster close to both non-proliferative DZ-GCBCs and LZ-GCBCs (which were borrowed from the GCBC cluster). This intriguing cluster shows expression of GC markers such as BCL6, IRF8 and MEF2B, as well as intermediate levels of DZ (e.g.CXCR4 and AICDA) and LZ markers (e.g. CD83 and LMO2). Additionally, expression of B cell markers such as MS4A1 and PAX5 can be observed. These observations may be consistent with published evidence in mice suggesting that there are some maturing PCs migrating from the LZ to the DZ before leaving the GC (Kräutler et al., 2017). Although this hypothesis is attractive, we cannot formally rule out that these cells may represent doublets from PCs and GCBCs." "BCL6,IRF8,MEF2B,CXCR4,CD83,LMO2,MS4A1,PAX5,XBP1,SLAMF7" "Kräutler2017|10.1084/jem.20161533" "pc_umap.png" NA
"Early PC precursor" "PC" "Early PC precursor" "This cluster belongs to the PC level 1 cluster, and is located next to the PC-committed LZ-GCBCs. Although it still maintains the expression of B cell and GC markers, their levels are reduced as compared to the PC committed cells (e.g. MS4A1, BCL6, IRF8, CD83). On the contrary, the expression of the 3 PC transcription factors (PRDM1, XBP1 and IRF4) are increased as compared to PC committed cells, and the first traces of PC phenotypic markers can be detected, e.g. MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11 (Nutt et al., 2015)." "MS4A1,BCL6,IRF8,CD83,PRDM1,XBP1,IRF4,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11" "Nutt2015|10.1038/nri3795" "pc_umap.png" NA
"PB committed early PC precursor" "PC" "PB committed early PC precursor" "Similar expression profile to the Early PC precursors, with low levels of B cell and GC markers (e.g. MS4A1, BCL6, IRF8, CD83), high expression expression levels of the 3 PC transcription factors (PRDM1, XBP1 and IRF4) and traces of PC phenotypic markers, e.g. MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11. CD9, a marker for precursor PCs (Yoon et al., 2013), can be detected. However, in this cluster, low levels of some cell division-related genes such as H2AFZ and TUBA1B. Therefore, we interpret that these early PC precursors are already committed to become proliferative plasmablasts." "MS4A1,BCL6,IRF8,CD83,PRDM1,XBP1,IRF4,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,CD9,TUBA1B" "Yoon2013|10.1016/j.bbrc.2012.12.102" "pc_umap.png" NA
"Transitional PB" "PC" "Transitional PB" "Cells in this cluster express the 3 PC transcription factors (PRDM1, XBP1 and IRF4) and PC phenotypic markers such as MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11 (Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013), can be detected. This is a peculiar cluster with intermediate levels of genes characteristic for proliferative plasmablasts such as H2AFZ, TUBA1B, MKI67 and TOP2A (Bar-Joseph et al., 2008). An analysis of cell cycle phases indicates that this cluster has cells both in S phase and G2M phase, which may suggest that it contains cells transitioning from PB committed early PC precursors to proliferative PBs and vice versa." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,CD9,H2AFZ,TUBA1B,MKI67,TOP2A" "Bar-Joseph2008|10.1073/pnas.0704723105;Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102" "pc_umap.png" NA
"PB" "PC" "PB" "Cells within this cluster are clearly proliferative plasmablasts with high expression levels of proliferation-related genes (H2AFZ, TUBA1B, MKI67 and TOP2A, among others; Bar-Joseph et al., 2008). Otherwise have an expression pattern of PCs (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013), can be detected. As compared to transitional PBs, the expression levels of PC phenotypic markers are slightly increased. Traces of B cell markers can still be detected (e.g. MS4A1 and PAX5) and even some GC-related markers such as MEF2B." "H2AFZ,TUBA1B,MKI67,TOP2A,PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11" "Bar-Joseph2008|10.1073/pnas.0704723105;Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102" "pc_umap.png" NA
"IgG+ PC precursor" "PC" "IgG+ PC precursor" "Cells within this cluster have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013), can be detected.. Although the typical B cell-related genes (MS4A1 and PAX5, among others) are downregulated, some traces of MEF2B, a GC marker, can still be observed. Finally, as compared to early precursors, higher expression levels of IGHG can be detected in this cluster." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,IGHG1,IGHG3,IGHG4" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102" "pc_umap.png" NA
"PreMature IgG+ PC" "PC" "PreMature IgG+ PC" "Cells within this cluster have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013) can still be detected. Although the typical B cell-related genes (MS4A1 and PAX5, among others) are downregulated, some traces of MEF2B, a GC marker, can still be observed. Finally, as compared to IgG+ PC precursors, higher expression levels of IGHG can be detected in this cluster" "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,IGHG1,IGHG3,IGHG4" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102" "pc_umap.png" NA
"Mature IgG+ PC" "PC" "Mature IgG+ PC" "Cells within this cluster have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013) is downregulated, and CD44, a marker for mature PCs (Khodadadi et al., 2019), is expressed. Traces of MEF2B, a GC marker, or typical B-cell related genes (e.g. MS4A1) cannot be detected anymore. Finally, this subpopulation shows high expression levels of IGHG." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,IGHG1,IGHG2,IGHG3,IGHG4,CD44" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102;Khodadadi2019|10.3389/fimmu.2019.00721" "pc_umap.png" NA
"MBC-derived IgG+ PC" "PC" "MBC-derived IgG+ PC" "Cells within this cluster have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013) is downregulated, and CD44, a marker for mature PCs (Khodadadi et al., 2019), is expressed. This subpopulation shows high expression levels of IGHG. Remarkably, cells in this cluster show expression of some markers expressed in MBCs, and in MBC-derived precursor PCs, such as FCMR and CCDC50. Therefore, the mature IgG+ PC phenotype together with traces of MBC-related genes made us think that this cluster represents mature IgG+ PCs derived from the reactivation of MBCs. Nevertheless, we cannot discard that these cells are doublets from MBC and PC." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,IGHG1,IGHG2,IGHG3,IGHG4,CD44,CXCR4,FCMR,CCDC50" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102;Khodadadi2019|10.3389/fimmu.2019.00721" "pc_umap.png" NA
"Mature IgA+ PC" "PC" "Mature IgA+ PC" "Cells within this cluster have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013) is downregulated, and CD44, a marker for mature PCs (Khodadadi et al., 2019), is expressed. Traces of MEF2B, a GC marker, or typical B-cell related genes (e.g. MS4A1) cannot be detected anymore. Finally, this subpopulation shows high expression levels of IGHA." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,CD44,IGHA1,IGHA2" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102;Khodadadi2019|10.3389/fimmu.2019.00721" "pc_umap.png" NA
"MBC-derived early PC precursor" "PC" "MBC-derived early PC precursor" "Cells within this cluster have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs is downregulated (Yoon et al., 2013), and CD44, a marker for mature PCs, is expressed (Khodadadi et al., 2019). This subpopulation shows high expression levels of IGHA. Remarkably, cells in this cluster show expression of some markers expressed in MBCs, and in MBC-derived precursor PCs, such FCMR and CCDC50. Therefore, the mature IgA+ PC phenotype together with traces of MBC-related genes made us think that this cluster represents mature IgA+ PCs derived from the reactivation of MBCs. Nevertheless, we cannot discard that these cells are doublets from MBC and PC." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,CD44,IGHA1,IGHA2,CCDC50,FCMR" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102;Khodadadi2019|10.3389/fimmu.2019.00721" "pc_umap.png" NA
"MBC-derived PC precursor" "PC" "MBC-derived PC precursor" "This subpopulation clusters between MBC-derived early PC precursor and mature PCs. As compared to MBC-derived early PC precursor, these cells show higher levels of PC related genes (PRDM1, IRF4, XBP1, MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015), and increased levels of IG genes expression. Traces of B cell related genes are expressed such as MS4A1 and PAX5. Additionally, MBC-related genes are also expressed (i.e. FCMR and CCDC50). Therefore, due to the increased expression of PC and IG genes as compared to the MBC-derived early PC precursor, we interpret that this cluster represents a further step towards the phenotypic transformation of a MBC into a PC. Nevertheless, we cannot discard that these cells are doublets from MBC and PC." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,CCDC50,FCMR,MS4A1,PAX5,IGHG3,IGHG4" "Nutt2015|10.1038/nri3795" "pc_umap.png" NA
"IgM+ early PC precursor" "PC" "IgM+ early PC precursor" "This cluster maps close to the early PC precursor cells but consistently show low expression levels of IGHM. The global gene expression pattern is similar to early PC precursor cells. It maintains low expression levels of B cell and GC markers, (e.g. MS4A1, BCL6, IRF8, CD83), and shows expression of the 3 PC transcription factors (PRDM1, XBP1 and IRF4) and the first traces of PC phenotypic markers can be detected, e.g. MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11 (Nutt et al., 2015)." "MS4A1,BCL6,IRF8,CD83,PRDM1,XBP1,IRF4,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,IGHM" "Nutt2015|10.1038/nri3795" "pc_umap.png" NA
"IgM+ PC precursor" "PC" "IgM+ PC precursor" "Cells within this cluster express IGHM and have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11). CD9, a marker for precursor PCs (Yoon et al., 2013), can be detected. Although the typical B cell-related genes (MS4A1 and PAX5, among others) are downregulated, some traces of MEF2B, a GC marker, can still be observed. Finally, as compared to IgM+ early PC precursor, higher expression levels of IGHM can be detected (Nutt, et al. 2015)." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,IGHM,CD9,MEF2B" "Nutt2015|10.1038/nri3795" "pc_umap.png" NA
"Premature IgM+ PC" "PC" "Premature IgM+ PC" "This IGHM-positive cluster show the expression of typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt, et al. 2015). CD9, a marker for precursor PCs (Yoon et al., 2013) is downregulated, and the expression of CD44, a marker for more mature PCs (Khodadadi et al., 2019), is increased. Finally, as compared to IgM+ PC precursor, higher expression levels of IGHM can be detected." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,CD44,IGHM" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102;Khodadadi2019|10.3389/fimmu.2019.00721" "pc_umap.png" NA
"Mature IgM+ PC" "PC" "Mature IgM+ PC" "Cells within this cluster express IGHM and have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013) is downregulated. Traces typical B-cell related genes (e.g. MS4A1) cannot be detected. Finally, among the IgM+ clusters, this subpopulation shows the highest expression levels of IGHM." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,CD44,IGHM" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102;Khodadadi2019|10.3389/fimmu.2019.00721" "pc_umap.png" NA
